date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:44	101646/101646	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262048d92-18d0e%22	https://template.hasthemes.com/brancy/brancy/assets/js/plugins/fancybox.min.js	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/js/plugins/fancybox.min.js	(from https://template.hasthemes.com/brancy/brancy/index.html)
23:24:44	135542/135542	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262048d95-21176%22	https://template.hasthemes.com/brancy/brancy/assets/js/plugins/swiper-bundle.min.js	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/js/plugins/swiper-bundle.min.js	(from https://template.hasthemes.com/brancy/brancy/index.html)
23:24:44	8261/8261	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262048d6f-2045%22	https://template.hasthemes.com/brancy/brancy/assets/js/main.js	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/js/main.js	(from https://template.hasthemes.com/brancy/brancy/index.html)
23:24:45	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2262048d6b-12d68%22	https://template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://template.hasthemes.com/brancy/brancy/assets/css/plugins/font-awesome.min.css)
23:24:46	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262048d6c-2876e%22	https://template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont.eot?	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfontd41d.eot	(from https://template.hasthemes.com/brancy/brancy/assets/css/plugins/font-awesome.min.css)
23:24:46	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262048d6c-2876e%22	https://template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont.eot?v=4.7.0	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont3e6e.eot	(from https://template.hasthemes.com/brancy/brancy/assets/css/plugins/font-awesome.min.css)
23:24:46	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2262048d6a-17ee8%22	https://template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont.woff?v=4.7.0	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont3e6e.woff	(from https://template.hasthemes.com/brancy/brancy/assets/css/plugins/font-awesome.min.css)
23:24:46	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%2262048d6a-286ac%22	https://template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://template.hasthemes.com/brancy/brancy/assets/css/plugins/font-awesome.min.css)
23:24:46	173/173	---MC-	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202024%2017:54:57%20GMT	https://template.hasthemes.com/brancy/brancy/assets/images/icons/cancel-white.webp	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/images/icons/cancel-white.png	(from https://template.hasthemes.com/brancy/brancy/assets/css/style.min.css)
23:24:47	166/166	---M--	200	added ('OK')	image/webp	date:Wed,%2014%20Feb%202024%2017:54:57%20GMT	https://template.hasthemes.com/brancy/brancy/assets/images/icons/menu-down2.webp	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/images/icons/menu-down2.webp	(from https://template.hasthemes.com/brancy/brancy/assets/css/style.min.css)
23:24:47	6398/6398	---M--	200	added ('OK')	image/webp	date:Wed,%2014%20Feb%202024%2017:54:58%20GMT	https://template.hasthemes.com/brancy/brancy/assets/images/slider/text-light.webp	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/images/slider/text-light.webp	(from https://template.hasthemes.com/brancy/brancy/index-two.html)
23:24:48	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262048d6c-6c7db%22	https://template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont.svg?v=4.7.0	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/fonts/fontawesome-webfont3e6e.svg	(from https://template.hasthemes.com/brancy/brancy/assets/css/plugins/font-awesome.min.css)
23:24:48	30856/30856	---M--	200	added ('OK')	image/webp	date:Wed,%2014%20Feb%202024%2017:54:58%20GMT	https://template.hasthemes.com/brancy/brancy/assets/images/slider/slider3.webp	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/images/slider/slider3.webp	(from https://template.hasthemes.com/brancy/brancy/index-two.html)
23:24:48	37040/37040	---M--	200	added ('OK')	image/webp	date:Wed,%2014%20Feb%202024%2017:54:59%20GMT	https://template.hasthemes.com/brancy/brancy/assets/images/slider/slider4.webp	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/images/slider/slider4.webp	(from https://template.hasthemes.com/brancy/brancy/index-two.html)
23:24:49	10742/10742	---M--	200	added ('OK')	image/webp	date:Wed,%2014%20Feb%202024%2017:54:59%20GMT	https://template.hasthemes.com/brancy/brancy/assets/images/shop/banner/4.webp	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/images/shop/banner/4.webp	(from https://template.hasthemes.com/brancy/brancy/index-two.html)
23:24:49	8946/8946	---M--	200	added ('OK')	image/webp	date:Wed,%2014%20Feb%202024%2017:55:00%20GMT	https://template.hasthemes.com/brancy/brancy/assets/images/shop/banner/5.webp	E:/New%20folder%20(3)/Cecom/template.hasthemes.com/brancy/brancy/assets/images/shop/banner/5.webp	(from https://template.hasthemes.com/brancy/brancy/index-two.html)
